scheme_id,scheme_name,persona,sub_category,authority,gender,min_age,max_age,income_ceiling,min_land,category,state,disability_required,bpl_required,benefit_desc,benefit_amount,official_url,required_docs
104,Girl Daughter Marriage Aid Kanyadan Sahay,Girl,All,Central,All,35,70,150000,0.0,All,Gujarat,No,No,Financial assistance provided for the marriage expenses of a girl's daughter.,₹20000 Marriage Grant,https://sje.gujarat.gov.in,Aadhaar;Daughter Marriage Invitation;Husband Death Certificate
105,Rural Housing Repair Assistance Single Women,Girl,All,Central,All,18,75,150000,0.0,All,Gujarat,No,No,Grant assistance for repair and renovation of dilapidated houses owned by girls.,₹15000-25000 Repair Grant,https://panchayat.gujarat.gov.in,Aadhaar;House Tax Receipt;Husband Death Certificate
106,Indira Gandhi National Widow Pension Scheme,Others,Widow,Central,Female,40,999,0,0.0,All,All,No,Yes,Monthly pension for BPL widows.,Rs. 300/month,https://nsap.nic.in,"Aadhaar, Death Certificate of Husband, BPL Card"
107,Indira Gandhi National Old Age Pension Scheme,Others,Senior Citizen,Central,All,60,999,0,0.0,All,All,No,Yes,Monthly pension for senior citizens below poverty line.,Rs. 200-500/month,https://nsap.nic.in,"Aadhaar, Age Proof, BPL Card"
108,Integrated Child Development Services (ICDS),Others,Child,Central,All,0,6,0,0.0,All,All,No,No,"Supplementary nutrition, immunization, and preschool education.",Nutrition and Care,https://icds-wcd.nic.in,"Birth Certificate, Aadhaar"
109,Assistance to Disabled Persons for Purchase of Aids/Appliances,Others,Person with Disability,Central,All,0,999,20000,0.0,All,All,Yes,No,Assistance for purchasing aids and appliances for PwD.,Aids/Appliances,https://disabilityaffairs.gov.in,"Aadhaar, Disability Certificate, Income Certificate"
110,Naya Savera - Free Coaching and Allied Scheme for Minority,Others,Minority Community Member,Central,All,15,30,600000,0.0,All,All,No,No,Free coaching for competitive exams for minority students.,Free Coaching,http://minorityaffairs.gov.in,"Aadhaar, Minority Certificate, Income Certificate"
111,Beti Bachao Beti Padhao,Girl,All,Central,Female,0,10,0,0.0,All,All,No,No,Welfare and education for girl child.,Variable,https://wcd.nic.in,"Aadhaar, Birth Certificate"
112,National Scheme of Incentive to Girls for Secondary Education,Girl,All,Central,Female,14,18,0,0.0,SC/ST,All,No,No,Incentive to promote secondary education for girls.,Rs. 3000 Fixed Deposit,https://scholarships.gov.in,"Aadhaar, Caste Certificate, School Bonafide"
113,CBSE Udaan,Girl,All,Central,Female,15,18,600000,0.0,All,All,No,No,Mentoring for girl students in engineering entrance exams.,Free Mentoring,http://cbse.nic.in,"Aadhaar, School Marksheet"
114,Mukhyamantri Kanya Kelavni Nidhi,Girl,All,State,Female,17,25,0,0.0,All,Gujarat,No,No,Support for girls studying medical courses in Gujarat.,Variable Scholarship,https://gujarat.gov.in,"Aadhaar, Domicile, Admission Letter"
115,Sukanya Samriddhi Yojana,Girl,All,Central,Female,0,10,0,0.0,All,All,No,No,Small deposit scheme for the girl child.,High Interest Savings,https://www.indiapost.gov.in,"Birth Certificate, Aadhaar of Parent"
